                                                                                            List of relations
 Schema |                              Name                               | Type  |   Owner    |                     Table                      | Persistence | Access method |    Size    | Description 
 public | clientes_rut_key                                                | index | admin_prod | clientes                                       | permanent   | btree         | 16 kB      | 
 public | comunas_pkey                                                    | index | admin_prod | comunas                                        | permanent   | btree         | 8192 bytes | 
 public | comunas_region_id_7826fdf5                                      | index | admin_prod | comunas                                        | permanent   | btree         | 8192 bytes | 
 public | configuracion_sii_automatica_holding_id_f2c157cc                | index | admin_prod | configuracion_sii_automatica                   | permanent   | btree         | 8192 bytes | 
 public | configuracion_sii_automatica_pkey                               | index | admin_prod | configuracion_sii_automatica                   | permanent   | btree         | 8192 bytes | 
 public | configuracion_sii_automatica_venta_holding_id_f08dc511          | index | admin_prod | configuracion_sii_automatica_venta             | permanent   | btree         | 8192 bytes | 
 public | configuracion_sii_automatica_venta_holding_id_f08dc511_uniq     | index | admin_prod | configuracion_sii_automatica_venta             | permanent   | btree         | 8192 bytes | 
 public | configuracion_sii_automatica_venta_pkey                         | index | admin_prod | configuracion_sii_automatica_venta             | permanent   | btree         | 8192 bytes | 
 public | contactos_clientes_area_cliente_id_33234f21                     | index | admin_prod | contactos_clientes                             | permanent   | btree         | 8192 bytes | 
 public | contactos_clientes_campo_cliente_id_02e41eae                    | index | admin_prod | contactos_clientes                             | permanent   | btree         | 8192 bytes | 
 public | contactos_clientes_cargo_cliente_id_c63e904c                    | index | admin_prod | contactos_clientes                             | permanent   | btree         | 8192 bytes | 
 public | contactos_clientes_cliente_id_631b3f35                          | index | admin_prod | contactos_clientes                             | permanent   | btree         | 8192 bytes | 
 public | contactos_clientes_correo_d727f578_like                         | index | admin_prod | contactos_clientes                             | permanent   | btree         | 8192 bytes | 
 public | contactos_clientes_correo_key                                   | index | admin_prod | contactos_clientes                             | permanent   | btree         | 8192 bytes | 
 public | contactos_clientes_holding_id_2b64c1b3                          | index | admin_prod | contactos_clientes                             | permanent   | btree         | 8192 bytes | 
 public | contactos_clientes_pkey                                         | index | admin_prod | contactos_clientes                             | permanent   | btree         | 8192 bytes | 
 public | contratista_test_app_contr_holding_id_9d9e4d77                  | index | admin_prod | contrato_horario                               | permanent   | btree         | 16 kB      | 
 public | contratista_test_app_contr_trabajador_id_4bf3cb16               | index | admin_prod | contrato_horario                               | permanent   | btree         | 16 kB      | 
 public | contratista_test_app_contratohorariosnapshot_contrato_id_key    | index | admin_prod | contrato_horario                               | permanent   | btree         | 16 kB      | 
 public | contratista_test_app_contratohorariosnapshot_pkey               | index | admin_prod | contrato_horario                               | permanent   | btree         | 16 kB      | 
 public | contratos_asociados_trab_trabajador_id_parametro__8e6b6e3c_uniq | index | admin_prod | contratos_asociados_trabajador                 | permanent   | btree         | 16 kB      | 
 public | contratos_asociados_trabajador_holding_id_2f9e811e              | index | admin_prod | contratos_asociados_trabajador                 | permanent   | btree         | 16 kB      | 
 public | contratos_asociados_trabajador_parametro_id_e5d431f7            | index | admin_prod | contratos_asociados_trabajador                 | permanent   | btree         | 16 kB      | 
 public | contratos_asociados_trabajador_pkey                             | index | admin_prod | contratos_asociados_trabajador                 | permanent   | btree         | 16 kB      | 
 public | contratos_asociados_trabajador_trabajador_id_b9b397c4           | index | admin_prod | contratos_asociados_trabajador                 | permanent   | btree         | 16 kB      | 
 public | contratos_trabajadores_causal_finiquito_id_ed0f56b0             | index | admin_prod | contratos_trabajadores                         | permanent   | btree         | 16 kB      | 
 public | contratos_trabajadores_cliente_id_b43b44ef                      | index | admin_prod | contratos_trabajadores                         | permanent   | btree         | 16 kB      | 
 public | contratos_trabajadores_comuna_prestacion_servicios_id_26fb5990  | index | admin_prod | contratos_trabajadores                         | permanent   | btree         | 16 kB      | 
 public | contratos_trabajadores_documento_id_06fef4ea                    | index | admin_prod | contratos_trabajadores                         | permanent   | btree         | 16 kB      | 
 public | contratos_trabajadores_folio_comercial_id_0e2d4ebd              | index | admin_prod | contratos_trabajadores                         | permanent   | btree         | 16 kB      | 
 public | contratos_trabajadores_fundo_id_24929d90                        | index | admin_prod | contratos_trabajadores                         | permanent   | btree         | 16 kB      | 
 public | contratos_trabajadores_holding_id_6a7527f3                      | index | admin_prod | contratos_trabajadores                         | permanent   | btree         | 16 kB      | 
 public | contratos_trabajadores_horario_id_a0c5eab2                      | index | admin_prod | contratos_trabajadores                         | permanent   | btree         | 16 kB      | 
 public | contratos_trabajadores_labor_id_11949b04                        | index | admin_prod | contratos_trabajadores                         | permanent   | btree         | 16 kB      | 
 public | contratos_trabajadores_pkey                                     | index | admin_prod | contratos_trabajadores                         | permanent   | btree         | 16 kB      | 
 public | contratos_trabajadores_region_prestacion_servicios_id_6e2e6937  | index | admin_prod | contratos_trabajadores                         | permanent   | btree         | 16 kB      | 
 public | contratos_trabajadores_tipo_discapacidad_id_d62254f7            | index | admin_prod | contratos_trabajadores                         | permanent   | btree         | 16 kB      | 
 public | contratos_trabajadores_tipo_impuesto_renta_id_872a0b01          | index | admin_prod | contratos_trabajadores                         | permanent   | btree         | 16 kB      | 
 public | contratos_trabajadores_tipo_jornada_id_c9c375c9                 | index | admin_prod | contratos_trabajadores                         | permanent   | btree         | 16 kB      | 
 public | contratos_trabajadores_trabajador_id_2248bede                   | index | admin_prod | contratos_trabajadores                         | permanent   | btree         | 16 kB      | 
 public | cuenta_origen_banco_id_cbfc99eb                                 | index | admin_prod | cuenta_origen                                  | permanent   | btree         | 16 kB      | 
 public | cuenta_origen_pkey                                              | index | admin_prod | cuenta_origen                                  | permanent   | btree         | 16 kB      | 
 public | cuenta_origen_sociedad_id_9482fc10                              | index | admin_prod | cuenta_origen                                  | permanent   | btree         | 16 kB      | 
 public | cuentas_holding_id_80746e3d                                     | index | admin_prod | cuentas                                        | permanent   | btree         | 8192 bytes | 
 public | cuentas_holding_id_cuenta_contable_60fcf591_uniq                | index | admin_prod | cuentas                                        | permanent   | btree         | 8192 bytes | 
 public | cuentas_pkey                                                    | index | admin_prod | cuentas                                        | permanent   | btree         | 8192 bytes | 
 public | descuentos_holding_id_2299ece5                                  | index | admin_prod | descuentos                                     | permanent   | btree         | 8192 bytes | 
 public | descuentos_holding_id_nombre_d950fee4_uniq                      | index | admin_prod | descuentos                                     | permanent   | btree         | 8192 bytes | 
 public | descuentos_pkey                                                 | index | admin_prod | descuentos                                     | permanent   | btree         | 8192 bytes | 
 public | detalle_pagos_transportista_pago_id_f9a4b15e                    | index | admin_prod | detalle_pagos_transportista                    | permanent   | btree         | 8192 bytes | 
 public | detalle_pagos_transportista_pkey                                | index | admin_prod | detalle_pagos_transportista                    | permanent   | btree         | 8192 bytes | 
 public | developer_pkey                                                  | index | admin_prod | developer                                      | permanent   | btree         | 16 kB      | 
 public | dias_trabajados_aprobados_holding_id_5424e021                   | index | admin_prod | dias_trabajados_aprobados                      | permanent   | btree         | 8192 bytes | 
 public | dias_trabajados_aprobados_modificado_por_id_28432e32            | index | admin_prod | dias_trabajados_aprobados                      | permanent   | btree         | 8192 bytes | 
 public | dias_trabajados_aprobados_pkey                                  | index | admin_prod | dias_trabajados_aprobados                      | permanent   | btree         | 8192 bytes | 
 public | dias_trabajados_aprobados_trabajador_id_2a0add94                | index | admin_prod | dias_trabajados_aprobados                      | permanent   | btree         | 8192 bytes | 
 public | dias_trabajados_aprobados_trabajador_id_mes_year_bb521f9d_uniq  | index | admin_prod | dias_trabajados_aprobados                      | permanent   | btree         | 8192 bytes | 
 public | dias_trabajados_aprobados_usuario_aprueba_id_060e2b90           | index | admin_prod | dias_trabajados_aprobados                      | permanent   | btree         | 8192 bytes | 
 public | django_admin_log_content_type_id_c4bce8eb                       | index | admin_prod | django_admin_log                               | permanent   | btree         | 8192 bytes | 
 public | django_admin_log_pkey                                           | index | admin_prod | django_admin_log                               | permanent   | btree         | 8192 bytes | 
 public | django_admin_log_user_id_c564eba6                               | index | admin_prod | django_admin_log                               | permanent   | btree         | 8192 bytes | 
